Table Name Index System Call              Handler Address    Symbol                                                      
64bit        102                          0xffffffff81084840 sys_getuid                                                  
64bit        103                          0xffffffff810c9e80 sys_syslog                                                  
64bit        104                          0xffffffff810848a0 sys_getgid                                                  
64bit        105                          0xffffffff81084010 SyS_setuid                                                  
64bit        106                          0xffffffff81083d80 SyS_setgid                                                  
64bit        107                          0xffffffff81084870 sys_geteuid                                                 
64bit        108                          0xffffffff810848d0 sys_getegid                                                 
64bit        109                          0xffffffff81084a90 SyS_setpgid                                                 
64bit        110                          0xffffffff81084810 sys_getppid                                                 
64bit        111                          0xffffffff81084ce0 sys_getpgrp                                                 
64bit        112                          0xffffffff81084d80 sys_setsid                                                  
64bit        113                          0xffffffff81083e60 SyS_setreuid                                                
64bit        114                          0xffffffff81083c00 SyS_setregid                                                
64bit        115                          0xffffffff81098220 sys_getgroups                                               
64bit        116                          0xffffffff81098310 sys_setgroups                                               
64bit        117                          0xffffffff81084130 sys_setresuid                                               
64bit        118                          0xffffffff81084340 SyS_getresuid                                               
64bit        119                          0xffffffff810843e0 sys_setresgid                                               
64bit        120                          0xffffffff81084570 SyS_getresgid                                               
64bit        121                          0xffffffff81084c70 sys_getpgid                                                 
64bit        122                          0xffffffff81084610 SyS_setfsuid                                                
64bit        123                          0xffffffff810846f0 SyS_setfsgid                                                
64bit        124                          0xffffffff81084d10 SyS_getsid                                                  
64bit        125                          0xffffffff810776f0 sys_capget                                                  
64bit        126                          0xffffffff81077850 sys_capset                                                  
64bit        127                          0xffffffff81080ee0 sys_rt_sigpending                                           
64bit        128                          0xffffffff81081630 sys_rt_sigtimedwait                                         
64bit        129                          0xffffffff810816b0 SyS_rt_sigqueueinfo                                         
64bit        130                          0xffffffff81082340 SyS_rt_sigsuspend                                           
64bit        131                          0xffffffff81081a40 sys_sigaltstack                                             
64bit        132                          0xffffffff812037d0 sys_utime                                                   
64bit        133                          0xffffffff811e46d0 sys_mknod                                                   
64bit        134                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        135                          0xffffffff8106d910 SyS_personality                                             
64bit        136                          0xffffffff81204690 SyS_ustat                                                   
64bit        137                          0xffffffff81204540 sys_statfs                                                  
64bit        138                          0xffffffff81204560 SyS_fstatfs                                                 
64bit        139                          0xffffffff811f1ac0 sys_sysfs                                                   
64bit        140                          0xffffffff810839a0 sys_getpriority                                             
64bit        141                          0xffffffff81083740 sys_setpriority                                             
64bit        142                          0xffffffff810a03c0 sys_sched_setparam                                          
64bit        143                          0xffffffff810a0600 sys_sched_getparam                                          
64bit        144                          0xffffffff810a0390 sys_sched_setscheduler                                      
64bit        145                          0xffffffff810a0580 sys_sched_getscheduler                                      
64bit        146                          0xffffffff810a0a90 SyS_sched_get_priority_max                                  
64bit        147                          0xffffffff810a0ad0 SyS_sched_get_priority_min                                  
64bit        148                          0xffffffff810a0b10 SyS_sched_rr_get_interval                                   
