Table Name Index System Call              Handler Address    Symbol                                                      
64bit        430                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        431                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        432                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        433                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        434                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        435                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        436                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        437                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        438                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        439                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        440                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        441                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        442                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        443                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        444                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        445                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        446                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        447                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        448                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        449                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        450                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        451                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        452                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        453                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        454                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        455                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        456                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        457                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        458                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        459                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        460                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        461                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        462                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        463                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        464                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        465                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        466                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        467                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        468                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        469                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        470                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        471                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        472                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        473                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        474                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        475                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        476                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        477                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        478                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        479                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        480                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        481                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        482                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        483                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        484                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        485                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        486                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        487                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        488                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        489                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        490                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        491                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        492                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        493                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        494                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        495                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        496                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        497                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        498                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        499                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        500                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        501                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        502                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        503                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        504                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        505                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        506                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        507                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        508                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        509                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        510                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        511                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        512                          0xffffffff81082090 compat_SyS_rt_sigaction                                     
64bit        513                          0xffffffff8176b370 stub_x32_rt_sigreturn                                       
64bit        514                          0xffffffff81224e20 compat_sys_ioctl                                            
64bit        515                          0xffffffff811d5070 compat_sys_readv                                            
64bit        516                          0xffffffff811d5150 compat_sys_writev                                           
64bit        517                          0xffffffff81681a10 compat_sys_recvfrom                                         
64bit        518                          0xffffffff81681960 compat_sys_sendmsg                                          
64bit        519                          0xffffffff816819c0 compat_sys_recvmsg                                          
64bit        520                          0xffffffff8176b410 stub_x32_execve                                             
64bit        521                          0xffffffff810798a0 compat_sys_ptrace                                           
64bit        522                          0xffffffff81080fc0 compat_SyS_rt_sigpending                                    
64bit        523                          0xffffffff810f4990 compat_sys_rt_sigtimedwait                                  
64bit        524                          0xffffffff810816c0 compat_sys_rt_sigqueueinfo                                  
64bit        525                          0xffffffff81081b20 compat_SyS_sigaltstack                                      
64bit        526                          0xffffffff810f4600 compat_sys_timer_create                                     
64bit        527                          0xffffffff812dd1a0 compat_SyS_mq_notify                                        
64bit        528                          0xffffffff810f1920 compat_sys_kexec_load                                       
64bit        529                          0xffffffff810f4060 compat_SyS_waitid                                           
64bit        530                          0xffffffff810e7040 compat_SyS_set_robust_list                                  
64bit        531                          0xffffffff810e7090 compat_sys_get_robust_list                                  
64bit        532                          0xffffffff81202100 compat_sys_vmsplice                                         
64bit        533                          0xffffffff810f4a60 compat_SyS_move_pages                                       
64bit        534                          0xffffffff811d5120 compat_sys_preadv64                                         
64bit        535                          0xffffffff811d5200 compat_sys_pwritev64                                        
64bit        536                          0xffffffff810816e0 compat_SyS_rt_tgsigqueueinfo                                
64bit        537                          0xffffffff81681a30 compat_SyS_recvmmsg                                         
64bit        538                          0xffffffff81681990 compat_SyS_sendmmsg                                         
64bit        539                          0xffffffff8119ed20 compat_SyS_process_vm_readv                                 
64bit        540                          0xffffffff8119ed50 compat_sys_process_vm_writev                                
64bit        541                          0xffffffff81681780 compat_SyS_setsockopt                                       
64bit        542                          0xffffffff81681880 compat_sys_getsockopt                                       
64bit        543                          0xffffffff81222cf0 compat_SyS_io_setup                                         
64bit        544                          0xffffffff81222ff0 compat_SyS_io_submit                                        
32bit          0                          0xffffffff81080b20 sys_restart_syscall                                         
32bit          1                          0xffffffff81070a20 SyS_exit                                                    
32bit          2                          0xffffffff8176d9f0 stub32_fork                                                 
32bit          3                          0xffffffff811d4680 SyS_read                                                    
32bit          4                          0xffffffff811d4730 sys_write                                                   
32bit          5                          0xffffffff812235e0 compat_sys_open                                             
32bit          6                          0xffffffff811d1340 SyS_close                                                   
32bit          7                          0xffffffff810655a0 sys32_waitpid                                               
32bit          8                          0xffffffff811d2e80 sys_creat                                                   
32bit          9                          0xffffffff811e4ff0 SyS_link                                                    
32bit         10                          0xffffffff811e4af0 SyS_unlink                                                  
32bit         11                          0xffffffff8176d9e0 stub32_execve                                               
32bit         12                          0xffffffff811d2200 sys_chdir                                                   
32bit         13                          0xffffffff810f49a0 compat_SyS_time                                             
32bit         14                          0xffffffff811e46d0 sys_mknod                                                   
32bit         15                          0xffffffff811d25c0 sys_chmod                                                   
32bit         16                          0xffffffff810e7e10 SyS_lchown16                                                
32bit         17                          0xffffffff810662a0 compat_ni_syscall                                           
32bit         18                          0xffffffff811d8ec0 SyS_stat                                                    
32bit         19                          0xffffffff811d3730 compat_SyS_lseek                                            
32bit         20                          0xffffffff810847c0 sys_getpid                                                  
32bit         21                          0xffffffff812230f0 compat_sys_mount                                            
32bit         22                          0xffffffff811f4690 sys_oldumount                                               
32bit         23                          0xffffffff810e7f00 sys_setuid16                                                
32bit         24                          0xffffffff810e84f0 sys_getuid16                                                
32bit         25                          0xffffffff810f49f0 compat_SyS_stime                                            
32bit         26                          0xffffffff810798a0 compat_sys_ptrace                                           
32bit         27                          0xffffffff8107c680 sys_alarm                                                   
32bit         28                          0xffffffff811d8ee0 SyS_fstat                                                   
32bit         29                          0xffffffff81082280 sys_pause                                                   
32bit         30                          0xffffffff81222350 compat_sys_utime                                            
32bit         31                          0xffffffff810662a0 compat_ni_syscall                                           
32bit         32                          0xffffffff810662a0 compat_ni_syscall                                           
32bit         33                          0xffffffff811d2010 SyS_access                                                  
32bit         34                          0xffffffff810a0210 SyS_nice                                                    
32bit         35                          0xffffffff810662a0 compat_ni_syscall                                           
32bit         36                          0xffffffff81203030 sys_sync                                                    
32bit         37                          0xffffffff81081640 SyS_kill                                                    
32bit         38                          0xffffffff811e52b0 SyS_rename                                                  
32bit         39                          0xffffffff811e49b0 SyS_mkdir                                                   
32bit         40                          0xffffffff811e4a90 sys_rmdir                                                   
32bit         41                          0xffffffff811f1670 sys_dup                                                     
32bit         42                          0xffffffff811dccc0 sys_pipe                                                    
32bit         43                          0xffffffff810f3840 compat_sys_times                                            
32bit         44                          0xffffffff810662a0 compat_ni_syscall                                           
32bit         45                          0xffffffff81194970 SyS_brk                                                     
32bit         46                          0xffffffff810e7ea0 SyS_setgid16                                                
32bit         47                          0xffffffff810e85b0 sys_getgid16                                                
32bit         48                          0xffffffff81082230 sys_signal                                                  
32bit         49                          0xffffffff810e8550 sys_geteuid16                                               
32bit         50                          0xffffffff810e8610 sys_getegid16                                               
32bit         51                          0xffffffff810f0130 sys_acct                                                    
32bit         52                          0xffffffff811f4590 SyS_umount                                                  
32bit         53                          0xffffffff810662a0 compat_ni_syscall                                           
32bit         54                          0xffffffff81224e20 compat_sys_ioctl                                            
32bit         55                          0xffffffff812226c0 compat_sys_fcntl64                                          
32bit         56                          0xffffffff810662a0 compat_ni_syscall                                           
32bit         57                          0xffffffff81084a90 SyS_setpgid                                                 
32bit         58                          0xffffffff810662a0 compat_ni_syscall                                           
32bit         59                          0xffffffff81085050 SyS_olduname                                                
32bit         60                          0xffffffff81085920 sys_umask                                                   
32bit         61                          0xffffffff811d2360 sys_chroot                                                  
32bit         62                          0xffffffff812226b0 compat_SyS_ustat                                            
32bit         63                          0xffffffff811f1530 SyS_dup2                                                    
32bit         64                          0xffffffff81084810 sys_getppid                                                 
32bit         65                          0xffffffff81084ce0 sys_getpgrp                                                 
32bit         66                          0xffffffff81084d80 sys_setsid                                                  
32bit         67                          0xffffffff810821c0 compat_SyS_sigaction                                        
32bit         68                          0xffffffff810821d0 sys_sgetmask                                                
32bit         69                          0xffffffff810821f0 sys_ssetmask                                                
32bit         70                          0xffffffff810e7ed0 SyS_setreuid16                                              
32bit         71                          0xffffffff810e7e70 sys_setregid16                                              
32bit         72                          0xffffffff81082400 sys_sigsuspend                                              
32bit         73                          0xffffffff810f3960 compat_sys_sigpending                                       
32bit         74                          0xffffffff81085060 SyS_sethostname                                             
32bit         75                          0xffffffff810f3a80 compat_SyS_setrlimit                                        
32bit         76                          0xffffffff810f3b40 compat_SyS_old_getrlimit                                    
32bit         77                          0xffffffff81085910 compat_SyS_getrusage                                        
32bit         78                          0xffffffff810f3370 compat_SyS_gettimeofday                                     
32bit         79                          0xffffffff810f33f0 compat_sys_settimeofday                                     
32bit         80                          0xffffffff810e8250 SyS_getgroups16                                             
32bit         81                          0xffffffff810e8360 sys_setgroups16                                             
32bit         82                          0xffffffff812239c0 compat_SyS_old_select                                       
32bit         83                          0xffffffff811e4c00 SyS_symlink                                                 
32bit         84                          0xffffffff811d8ed0 SyS_lstat                                                   
32bit         85                          0xffffffff811d9060 SyS_readlink                                                
32bit         86                          0xffffffff811dac10 SyS_uselib                                                  
32bit         87                          0xffffffff811a0fb0 SyS_swapon                                                  
32bit         88                          0xffffffff81097420 SyS_reboot                                                  
32bit         89                          0xffffffff81223310 compat_sys_old_readdir                                      
32bit         90                          0xffffffff81065530 sys32_mmap                                                  
32bit         91                          0xffffffff811954a0 sys_munmap                                                  
32bit         92                          0xffffffff811d1d50 compat_SyS_truncate                                         
32bit         93                          0xffffffff811d1d80 compat_sys_ftruncate                                        
32bit         94                          0xffffffff811d2480 SyS_fchmod                                                  
32bit         95                          0xffffffff810e7e40 SyS_fchown16                                                
32bit         96                          0xffffffff810839a0 sys_getpriority                                             
32bit         97                          0xffffffff81083740 sys_setpriority                                             
32bit         98                          0xffffffff810662a0 compat_ni_syscall                                           
32bit         99                          0xffffffff81222670 compat_sys_statfs                                           
32bit        100                          0xffffffff81222680 compat_SyS_fstatfs                                          
32bit        101                          0xffffffff81015d40 sys_ioperm                                                  
32bit        102                          0xffffffff81681b00 compat_SyS_socketcall                                       
32bit        103                          0xffffffff810c9e80 sys_syslog                                                  
32bit        104                          0xffffffff810f36d0 compat_SyS_setitimer                                        
32bit        105                          0xffffffff810f3620 compat_SyS_getitimer                                        
32bit        106                          0xffffffff81222630 compat_SyS_newstat                                          
32bit        107                          0xffffffff81222640 compat_sys_newlstat                                         
32bit        108                          0xffffffff81222660 compat_SyS_newfstat                                         
32bit        109                          0xffffffff81084f70 SyS_uname                                                   
32bit        110                          0xffffffff81015f20 SyS_iopl                                                    
32bit        111                          0xffffffff811d2ea0 sys_vhangup                                                 
32bit        112                          0xffffffff810662a0 compat_ni_syscall                                           
32bit        113                          0xffffffff81065630 sys32_vm86_warning                                          
32bit        114                          0xffffffff810f4050 compat_SyS_wait4                                            
32bit        115                          0xffffffff811a38d0 sys_swapoff                                                 
32bit        116                          0xffffffff81085e30 compat_SyS_sysinfo                                          
32bit        117                          0xffffffff812d2f90 compat_sys_ipc                                              
32bit        118                          0xffffffff812031a0 SyS_fsync                                                   
32bit        119                          0xffffffff8176d9d0 stub32_sigreturn                                            
32bit        120                          0xffffffff8176da10 stub32_clone                                                
32bit        121                          0xffffffff81085200 sys_setdomainname                                           
32bit        122                          0xffffffff81084e90 SyS_newuname                                                
32bit        123                          0xffffffff810165c0 sys_modify_ldt                                              
32bit        124                          0xffffffff810f4a50 compat_SyS_adjtimex                                         
32bit        125                          0xffffffff81196900 sys_mprotect                                                
32bit        126                          0xffffffff810f39c0 compat_sys_sigprocmask                                      
32bit        127                          0xffffffff810662a0 compat_ni_syscall                                           
32bit        128                          0xffffffff810ee0a0 SyS_init_module                                             
32bit        129                          0xffffffff810eb5b0 SyS_delete_module                                           
32bit        130                          0xffffffff810662a0 compat_ni_syscall                                           
32bit        131                          0xffffffff812338e0 sys32_quotactl                                              
32bit        132                          0xffffffff81084c70 sys_getpgid                                                 
32bit        133                          0xffffffff811d22c0 sys_fchdir                                                  
32bit        134                          0xffffffff81208ec0 SyS_bdflush                                                 
32bit        135                          0xffffffff811f1ac0 sys_sysfs                                                   
32bit        136                          0xffffffff8106d910 SyS_personality                                             
32bit        137                          0xffffffff810662a0 compat_ni_syscall                                           
32bit        138                          0xffffffff810e81f0 SyS_setfsuid16                                              
32bit        139                          0xffffffff810e8220 sys_setfsgid16                                              
32bit        140                          0xffffffff811d37e0 SyS_llseek                                                  
32bit        141                          0xffffffff812233b0 compat_SyS_getdents                                         
32bit        142                          0xffffffff812238d0 compat_SyS_select                                           
32bit        143                          0xffffffff81220cc0 sys_flock                                                   
32bit        144                          0xffffffff81197b90 sys_msync                                                   
32bit        145                          0xffffffff811d5070 compat_sys_readv                                            
32bit        146                          0xffffffff811d5150 compat_sys_writev                                           
32bit        147                          0xffffffff81084d10 SyS_getsid                                                  
32bit        148                          0xffffffff812031c0 SyS_fdatasync                                               
32bit        149                          0xffffffff810773e0 compat_SyS_sysctl                                           
32bit        150                          0xffffffff81191790 SyS_mlock                                                   
32bit        151                          0xffffffff811918b0 SyS_munlock                                                 
32bit        152                          0xffffffff81191930 sys_mlockall                                                
32bit        153                          0xffffffff81191ac0 sys_munlockall                                              
32bit        154                          0xffffffff810a03c0 sys_sched_setparam                                          
32bit        155                          0xffffffff810a0600 sys_sched_getparam                                          
32bit        156                          0xffffffff810a0390 sys_sched_setscheduler                                      
32bit        157                          0xffffffff810a0580 sys_sched_getscheduler                                      
32bit        158                          0xffffffff810a09c0 sys_sched_yield                                             
32bit        159                          0xffffffff810a0a90 SyS_sched_get_priority_max                                  
32bit        160                          0xffffffff810a0ad0 SyS_sched_get_priority_min                                  
32bit        161                          0xffffffff810f4c90 compat_sys_sched_rr_get_interval                            
32bit        162                          0xffffffff810f3540 compat_sys_nanosleep                                        
32bit        163                          0xffffffff81197680 sys_mremap                                                  
32bit        164                          0xffffffff810e7f30 SyS_setresuid16                                             
32bit        165                          0xffffffff810e7f70 SyS_getresuid16                                             
32bit        166                          0xffffffff81065630 sys32_vm86_warning                                          
32bit        167                          0xffffffff810662a0 compat_ni_syscall                                           
32bit        168                          0xffffffff811e8c00 SyS_poll                                                    
32bit        169                          0xffffffff810662a0 compat_ni_syscall                                           
32bit        170                          0xffffffff810e8090 sys_setresgid16                                             
32bit        171                          0xffffffff810e80d0 SyS_getresgid16                                             
32bit        172                          0xffffffff81085950 sys_prctl                                                   
32bit        173                          0xffffffff8176d9c0 stub32_rt_sigreturn                                         
32bit        174                          0xffffffff81082090 compat_SyS_rt_sigaction                                     
32bit        175                          0xffffffff81080d80 sys_rt_sigprocmask                                          
32bit        176                          0xffffffff81080fc0 compat_SyS_rt_sigpending                                    
32bit        177                          0xffffffff810f4990 compat_sys_rt_sigtimedwait                                  
32bit        178                          0xffffffff810816c0 compat_sys_rt_sigqueueinfo                                  
32bit        179                          0xffffffff81082340 SyS_rt_sigsuspend                                           
32bit        180                          0xffffffff810655c0 sys32_pread                                                 
32bit        181                          0xffffffff810655e0 sys32_pwrite                                                
32bit        182                          0xffffffff810e7de0 SyS_chown16                                                 
32bit        183                          0xffffffff811eccd0 sys_getcwd                                                  
32bit        184                          0xffffffff810776f0 sys_capget                                                  
32bit        185                          0xffffffff81077850 sys_capset                                                  
32bit        186                          0xffffffff81081b20 compat_SyS_sigaltstack                                      
32bit        187                          0xffffffff811d5350 compat_SyS_sendfile                                         
32bit        188                          0xffffffff810662a0 compat_ni_syscall                                           
32bit        189                          0xffffffff810662a0 compat_ni_syscall                                           
32bit        190                          0xffffffff8176da00 stub32_vfork                                                
32bit        191                          0xffffffff810f3c10 compat_sys_getrlimit                                        
32bit        192                          0xffffffff81193850 sys_mmap_pgoff                                              
32bit        193                          0xffffffff810653f0 sys32_truncate64                                            
32bit        194                          0xffffffff81065410 sys32_ftruncate64                                           
32bit        195                          0xffffffff81065430 sys32_stat64                                                
32bit        196                          0xffffffff81065470 sys32_lstat64                                               
32bit        197                          0xffffffff810654b0 sys32_fstat64                                               
32bit        198                          0xffffffff811d2860 sys_lchown                                                  
32bit        199                          0xffffffff81084840 sys_getuid                                                  
32bit        200                          0xffffffff810848a0 sys_getgid                                                  
32bit        201                          0xffffffff81084870 sys_geteuid                                                 
32bit        202                          0xffffffff810848d0 sys_getegid                                                 
32bit        203                          0xffffffff81083e60 SyS_setreuid                                                
32bit        204                          0xffffffff81083c00 SyS_setregid                                                
32bit        205                          0xffffffff81098220 sys_getgroups                                               
32bit        206                          0xffffffff81098310 sys_setgroups                                               
32bit        207                          0xffffffff811d2940 SyS_fchown                                                  
32bit        208                          0xffffffff81084130 sys_setresuid                                               
32bit        209                          0xffffffff81084340 SyS_getresuid                                               
32bit        210                          0xffffffff810843e0 sys_setresgid                                               
32bit        211                          0xffffffff81084570 SyS_getresgid                                               
32bit        212                          0xffffffff811d2770 sys_chown                                                   
32bit        213                          0xffffffff81084010 SyS_setuid                                                  
32bit        214                          0xffffffff81083d80 SyS_setgid                                                  
32bit        215                          0xffffffff81084610 SyS_setfsuid                                                
32bit        216                          0xffffffff810846f0 SyS_setfsgid                                                
32bit        217                          0xffffffff811f5d20 SyS_pivot_root                                              
32bit        218                          0xffffffff811900a0 sys_mincore                                                 
32bit        219                          0xffffffff81189510 SyS_madvise                                                 
32bit        220                          0xffffffff812234c0 compat_sys_getdents64                                       
32bit        221                          0xffffffff812226c0 compat_sys_fcntl64                                          
32bit        222                          0xffffffff810662a0 compat_ni_syscall                                           
32bit        223                          0xffffffff810662a0 compat_ni_syscall                                           
32bit        224                          0xffffffff810847f0 sys_gettid                                                  
32bit        225                          0xffffffff810656a0 sys32_readahead                                             
32bit        226                          0xffffffff811f8a90 sys_setxattr                                                
32bit        227                          0xffffffff811f8b70 SyS_lsetxattr                                               
32bit        228                          0xffffffff811f8c40 sys_fsetxattr                                               
32bit        229                          0xffffffff811f8d20 SyS_getxattr                                                
32bit        230                          0xffffffff811f8db0 sys_lgetxattr                                               
32bit        231                          0xffffffff811f8e40 sys_fgetxattr                                               
32bit        232                          0xffffffff811f8f10 SyS_listxattr                                               
32bit        233                          0xffffffff811f8fa0 sys_llistxattr                                              
32bit        234                          0xffffffff811f9020 sys_flistxattr                                              
32bit        235                          0xffffffff811f90e0 SyS_removexattr                                             
32bit        236                          0xffffffff811f9190 sys_lremovexattr                                            
32bit        237                          0xffffffff811f9240 SyS_fremovexattr                                            
32bit        238                          0xffffffff81081680 SyS_tkill                                                   
32bit        239                          0xffffffff811d52b0 SyS_sendfile64                                              
32bit        240                          0xffffffff810e7150 compat_sys_futex                                            
32bit        241                          0xffffffff810f4790 compat_SyS_sched_setaffinity                                
32bit        242                          0xffffffff810f48e0 compat_sys_sched_getaffinity                                
32bit        243                          0xffffffff81022100 sys_set_thread_area                                         
32bit        244                          0xffffffff810221a0 SyS_get_thread_area                                         
32bit        245                          0xffffffff81222cf0 compat_SyS_io_setup                                         
32bit        246                          0xffffffff8121d5a0 SyS_io_destroy                                              
32bit        247                          0xffffffff81222d80 compat_SyS_io_getevents                                     
32bit        248                          0xffffffff81222ff0 compat_SyS_io_submit                                        
32bit        249                          0xffffffff8121db70 SyS_io_cancel                                               
32bit        250                          0xffffffff81065700 sys32_fadvise64                                             
32bit        251                          0xffffffff810662a0 compat_ni_syscall                                           
32bit        252                          0xffffffff81070ae0 SyS_exit_group                                              
32bit        253                          0xffffffff8124b2e0 compat_sys_lookup_dcookie                                   
32bit        254                          0xffffffff812178e0 sys_epoll_create                                            
32bit        255                          0xffffffff81217a50 SyS_epoll_ctl                                               
32bit        256                          0xffffffff81218420 sys_epoll_wait                                              
32bit        257                          0xffffffff811882a0 sys_remap_file_pages                                        
32bit        258                          0xffffffff8106cd80 SyS_set_tid_address                                         
32bit        259                          0xffffffff810f4600 compat_sys_timer_create                                     
32bit        260                          0xffffffff810f4100 compat_SyS_timer_settime                                    
32bit        261                          0xffffffff810f41e0 compat_SyS_timer_gettime                                    
32bit        262                          0xffffffff81090620 sys_timer_getoverrun                                        
32bit        263                          0xffffffff81090860 SyS_timer_delete                                            
32bit        264                          0xffffffff810f4260 compat_SyS_clock_settime                                    
32bit        265                          0xffffffff810f42d0 compat_SyS_clock_gettime                                    
32bit        266                          0xffffffff810f4360 compat_sys_clock_getres                                     
32bit        267                          0xffffffff810f43e0 compat_SyS_clock_nanosleep                                  
32bit        268                          0xffffffff81222690 compat_sys_statfs64                                         
32bit        269                          0xffffffff812226a0 compat_SyS_fstatfs64                                        
32bit        270                          0xffffffff81081650 sys_tgkill                                                  
32bit        271                          0xffffffff81222550 compat_SyS_utimes                                           
32bit        272                          0xffffffff81065600 sys32_fadvise64_64                                          
32bit        273                          0xffffffff810662a0 compat_ni_syscall                                           
32bit        274                          0xffffffff811ae7c0 SyS_mbind                                                   
32bit        275                          0xffffffff811ad5c0 compat_SyS_get_mempolicy                                    
32bit        276                          0xffffffff811ad250 sys_set_mempolicy                                           
32bit        277                          0xffffffff812dcfd0 compat_SyS_mq_open                                          
32bit        278                          0xffffffff812dc0e0 SyS_mq_unlink                                               
32bit        279                          0xffffffff812dd0e0 compat_SyS_mq_timedsend                                     
32bit        280                          0xffffffff812dd140 compat_SyS_mq_timedreceive                                  
32bit        281                          0xffffffff812dd1a0 compat_SyS_mq_notify                                        
32bit        282                          0xffffffff812dd240 compat_SyS_mq_getsetattr                                    
32bit        283                          0xffffffff810f1920 compat_sys_kexec_load                                       
32bit        284                          0xffffffff810f4060 compat_SyS_waitid                                           
32bit        285                          0xffffffff810662a0 compat_ni_syscall                                           
32bit        286                          0xffffffff812e0680 SyS_add_key                                                 
32bit        287                          0xffffffff812e0880 sys_request_key                                             
32bit        288                          0xffffffff812e1f60 SyS_keyctl                                                  
32bit        289                          0xffffffff813697b0 sys_ioprio_set                                              
32bit        290                          0xffffffff81369aa0 sys_ioprio_get                                              
32bit        291                          0xffffffff812140f0 sys_inotify_init                                            
32bit        292                          0xffffffff81214150 SyS_inotify_add_watch                                       
32bit        293                          0xffffffff812144a0 SyS_inotify_rm_watch                                        
32bit        294                          0xffffffff811ad2d0 SyS_migrate_pages                                           
32bit        295                          0xffffffff81223600 compat_SyS_openat                                           
32bit        296                          0xffffffff811e48d0 SyS_mkdirat                                                 
32bit        297                          0xffffffff811e44d0 sys_mknodat                                                 
32bit        298                          0xffffffff811d2660 sys_fchownat                                                
32bit        299                          0xffffffff81222470 compat_SyS_futimesat                                        
32bit        300                          0xffffffff810654f0 sys32_fstatat                                               
32bit        301                          0xffffffff811e4ab0 sys_unlinkat                                                
32bit        302                          0xffffffff811e5290 SyS_renameat                                                
32bit        303                          0xffffffff811e4cf0 SyS_linkat                                                  
32bit        304                          0xffffffff811e4b10 sys_symlinkat                                               
32bit        305                          0xffffffff811d8f30 sys_readlinkat                                              
32bit        306                          0xffffffff811d2510 sys_fchmodat                                                
32bit        307                          0xffffffff811d1e10 sys_faccessat                                               
32bit        308                          0xffffffff81223ad0 compat_sys_pselect6                                         
32bit        309                          0xffffffff81223d00 compat_sys_ppoll                                            
32bit        310                          0xffffffff8106d250 SyS_unshare                                                 
32bit        311                          0xffffffff810e7040 compat_SyS_set_robust_list                                  
32bit        312                          0xffffffff810e7090 compat_sys_get_robust_list                                  
32bit        313                          0xffffffff81202290 SyS_splice                                                  
32bit        314                          0xffffffff810656d0 sys32_sync_file_range                                       
32bit        315                          0xffffffff812029e0 sys_tee                                                     
32bit        316                          0xffffffff81202100 compat_sys_vmsplice                                         
32bit        317                          0xffffffff810f4a60 compat_SyS_move_pages                                       
32bit        318                          0xffffffff81085db0 SyS_getcpu                                                  
32bit        319                          0xffffffff81218500 sys_epoll_pwait                                             
