Pid    Uid    Gid    Arguments                                                       
2682   1000   1000   /usr/lib/gvfs/gvfs-mtp-volume-monitor                           
2686   1000   1000   /usr/lib/gvfs/gvfs-afc-volume-monitor                           
2691   1000   1000   /usr/lib/gvfs/gvfs-gphoto2-volume-monitor                       
2705   1000   1000   /usr/lib/gvfs/gvfsd-burn --spawner :1.8 /org/gtk/gvfs/exec_spaw/0
2710   1000   1000   /usr/lib/gvfs/gvfsd-trash --spawner :1.8 /org/gtk/gvfs/exec_spaw/1
2762   1000   1000   /usr/lib/telepathy/mission-control-5                            
2823   1000   1000   zeitgeist-datahub                                               
2828   1000   1000   /usr/bin/zeitgeist-daemon                                       
2835   1000   1000   /usr/lib/x86_64-linux-gnu/zeitgeist-fts                         
2844   1000   1000   /bin/cat                                                        
2937   1000   1000   /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor             
2994   116    125    snort -m 027 -D -d -l /var/log/snort -u snort -g snort -c /etc/snort/snort.conf -S HOME_NET=[192.168.56.0/24] -i eth1
3008   33     33     /usr/sbin/apache2 -k start                                      
3552   0      0       ÎI6  ÿÿÿÿüÿÿ                                                
4202   0      0      [kworker/u2:2]                                                  
4315   0      0      [kworker/0:0]                                                   
4711   33     33     /usr/sbin/apache2 -k start                                      
4712   33     33     /usr/sbin/apache2 -k start                                      
4713   33     33     /usr/sbin/apache2 -k start                                      
5169   0      0      /usr/sbin/cupsd -f                                              
5173   7      7      /usr/lib/cups/notifier/dbus dbus://                             
5174   7      7      /usr/lib/cups/notifier/dbus dbus://                             
7621   0      0      sshd: michael [priv]                                            
7681   1001   1001   sshd: michael@pts/4                                             
7682   1001   1001   -bash                                                           
8019   1001   0      su mysqll                                                       
8021   0      0      bash                                                            
8540   0      0      xingyi_bindshell                                                
8568   0      0      /usr/bin/X -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
8613   0      0      lightdm --session-child 18 21                                   
8639   112    118    /bin/sh /usr/lib/lightdm/lightdm-greeter-session /usr/sbin/unity-greeter
8644   112    118    //bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
8645   112    118    [unity-greeter]                                                 
8649   112    118    /usr/lib/at-spi2-core/at-spi-bus-launcher                       
8657   112    118    /bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
8662   112    118    /usr/lib/gvfs/gvfsd                                             
8666   112    118    /usr/lib/gvfs/gvfsd-fuse /run/user/112/gvfs -f -o big_writes    
8669   112    118    /usr/lib/dconf/dconf-service                                    
8701   0      0      lightdm --session-child 12 21                                   
8704   112    118    init --user --startup-event indicator-services-start            
8706   112    118    nm-applet                                                       
8709   112    118    /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
8712   112    118    /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
8716   112    118    /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
8717   112    118    /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
8719   112    118    /usr/lib/unity-settings-daemon/unity-settings-daemon            
8720   112    118    [indicator-sound]                                               
8727   112    118    /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
8738   112    118    /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
9208   0      0      sh -c python -c 'import pty; pty.spawn("/bin/bash")'            
9209   0      0      python -c import pty; pty.spawn("/bin/bash")                    
9210   0      0      /bin/bash                                                       
9976   0      0      [kworker/0:2]                                                   
10057  0      0      insmod ./lime-3.16.0-30-generic.ko path=tcp:4444 format=lime    
10115  -1     -1                                                                     
