Access Date;Access Time;Modify Date;Modify Time;Create Date;Create Time;Permissions;UID;Username;GID;Groupname;Size;File
02/09/2021;19:21:15.0303183680;01/13/2015;22:50:14.0000000000;03/05/2015;22:38:02.6045374800;755;0;root;0;root;35456;/bin/mknod
02/09/2021;19:21:15.0303183680;01/07/2015;14:49:02.0000000000;03/05/2015;22:38:02.6525374820;755;0;root;0;root;68760;/bin/mt-gnu
02/09/2021;19:11:07.8504519990;03/12/2014;21:41:57.0000000000;03/05/2015;22:38:02.6045374800;755;0;root;0;root;10456;/bin/mountpoint
02/09/2021;19:21:15.0303183680;12/18/2013;10:36:04.0000000000;03/05/2015;22:38:02.6685374820;755;0;root;0;root;30824;/bin/ntfscluster
02/09/2021;19:11:50.9884385620;03/05/2015;22:38:02.6885374830;03/05/2015;22:38:02.6885374830;777;0;root;0;root;4;/bin/rnano
02/09/2021;19:11:07.7504519990;07/18/2014;05:42:17.0000000000;03/05/2015;22:38:02.6885374830;755;0;root;0;root;254;/bin/running-in-container
02/09/2021;19:21:15.0303183680;10/21/2013;09:15:20.0000000000;03/05/2015;22:38:02.4805374750;755;0;root;0;root;14480;/bin/bzip2recover
02/09/2021;19:21:15.0343203680;02/04/2015;12:57:44.0000000000;03/05/2015;22:38:02.5965374800;755;0;root;0;root;92328;/bin/loginctl
02/09/2021;19:11:09.3984519990;01/13/2015;22:50:14.0000000000;03/05/2015;22:38:02.4885374760;755;0;root;0;root;60160;/bin/chgrp
02/09/2021;19:21:15.0343203680;12/18/2013;10:36:05.0000000000;03/05/2015;22:38:02.6685374820;755;0;root;0;root;34920;/bin/ntfscmp
02/09/2021;19:11:07.7184519990;01/13/2015;22:50:14.0000000000;03/05/2015;22:38:02.6885374830;755;0;root;0;root;60160;/bin/rm
02/09/2021;19:11:10.0824519990;12/02/2014;12:10:35.0000000000;03/05/2015;22:38:02.6845374830;755;0;root;0;root;31608;/bin/plymouth-upstart-bridge
02/09/2021;19:11:50.9884385620;03/05/2015;22:38:02.6565374820;03/05/2015;22:38:02.6565374820;777;0;root;0;root;20;/bin/nc
02/09/2021;19:21:15.0383223690;01/13/2015;22:50:14.0000000000;03/05/2015;22:38:02.5365374770;755;0;root;0;root;31296;/bin/echo
02/09/2021;19:11:50.9884385620;03/05/2015;22:38:02.6885374830;03/05/2015;22:38:02.6885374830;777;0;root;0;root;4;/bin/rbash
02/09/2021;19:21:15.0383223690;10/21/2013;09:15:20.0000000000;03/05/2015;22:38:02.4805374750;755;0;root;0;root;3642;/bin/bzgrep
02/09/2021;19:14:28.8873493910;12/03/2012;20:42:04.0000000000;03/05/2015;22:38:02.6565374820;755;0;root;0;root;31248;/bin/nc.openbsd
02/09/2021;19:21:15.0383223690;12/18/2013;10:36:04.0000000000;03/05/2015;22:38:02.6645374820;755;0;root;0;root;67608;/bin/ntfs-3g.secaudit
02/09/2021;19:21:15.0383223690;02/18/2013;08:55:53.0000000000;03/05/2015;22:38:02.4885374760;755;0;root;0;root;10480;/bin/chvt
02/09/2021;19:21:15.0383223690;03/12/2015;13:37:39.6147234120;03/12/2015;13:37:39.6147234120;755;0;root;0;root;9660;/bin/xingyi_rootshell
02/09/2021;19:11:10.4384519990;02/10/2015;15:08:18.0000000000;03/05/2015;22:38:02.6845374830;755;0;root;0;root;93232;/bin/ps
02/09/2021;19:21:15.0423243670;02/04/2014;08:16:02.0000000000;03/05/2015;22:38:02.7085374840;755;0;root;0;root;353840;/bin/tar
02/09/2021;19:21:15.0463263680;12/18/2013;10:36:04.0000000000;03/05/2015;22:38:02.5965374800;755;0;root;0;root;63912;/bin/lowntfs-3g
02/09/2021;19:21:15.0463263680;12/18/2013;10:36:04.0000000000;03/05/2015;22:38:02.6725374820;755;0;root;0;root;34856;/bin/ntfstruncate
02/09/2021;19:21:15.0463263680;02/18/2013;08:55:53.0000000000;03/05/2015;22:38:02.5365374770;755;0;root;0;root;82256;/bin/dumpkeys
02/09/2021;19:21:15.0463263680;05/23/2013;05:04:48.0000000000;03/05/2015;22:38:02.5565374780;755;0;root;0;root;23688;/bin/getfacl
02/09/2021;19:11:09.1984519990;02/12/2015;13:53:38.0000000000;03/05/2015;22:38:02.5325374770;755;0;root;0;root;22896;/bin/dmesg
02/09/2021;19:12:23.2045384270;11/29/2012;10:32:48.0000000000;03/05/2015;22:38:02.5565374780;755;0;root;0;root;31864;/bin/fuser
02/09/2021;19:21:15.0543303680;12/16/2013;06:26:35.0000000000;03/05/2015;22:38:02.7165374840;755;0;root;0;root;14336;/bin/ulockmgr_server
02/09/2021;19:11:08.1864519990;02/13/2014;06:38:02.0000000000;03/05/2015;22:38:02.6925374830;755;0;root;0;root;73352;/bin/sed
02/09/2021;19:21:15.0543303680;01/13/2015;22:50:14.0000000000;03/05/2015;22:38:02.7205374840;755;0;root;0;root;110080;/bin/vdir
02/09/2021;19:21:15.0543303680;12/18/2013;10:36:05.0000000000;03/05/2015;22:38:02.6685374820;755;0;root;0;root;22528;/bin/ntfsdump_logfile
02/09/2021;19:21:15.0543303680;12/18/2013;10:36:04.0000000000;03/05/2015;22:38:02.6685374820;755;0;root;0;root;30752;/bin/ntfsck
02/09/2021;19:21:15.0543303680;11/14/2013;16:22:39.0000000000;03/05/2015;22:38:02.4765374750;755;0;root;0;root;1918032;/bin/busybox
02/09/2021;19:12:57.9138847210;02/16/2014;21:42:54.0000000000;03/05/2015;22:38:02.7005374840;4755;0;root;0;root;36936;/bin/su
02/09/2021;19:21:15.0663363670;01/13/2015;22:50:14.0000000000;03/05/2015;22:38:02.5325374770;755;0;root;0;root;110080;/bin/dir
02/09/2021;19:11:07.7584519990;12/02/2014;12:10:35.0000000000;03/05/2015;22:38:02.6845374830;755;0;root;0;root;35448;/bin/plymouth
02/09/2021;19:21:15.0703383670;06/10/2013;05:18:18.0000000000;03/05/2015;22:38:02.5885374790;755;0;root;0;root;153664;/bin/less
02/09/2021;19:11:09.0504519990;01/13/2015;22:50:14.0000000000;03/05/2015;22:38:02.5205374770;755;0;root;0;root;56136;/bin/dd
02/09/2021;19:21:15.0703383670;02/12/2015;13:53:38.0000000000;03/05/2015;22:38:02.7005374840;755;0;root;0;root;18816;/bin/tailf
02/09/2021;19:21:15.0703383670;06/10/2013;05:18:18.0000000000;03/05/2015;22:38:02.5885374790;755;0;root;0;root;10440;/bin/lessecho
02/09/2021;19:21:15.0703383670;12/18/2013;10:36:05.0000000000;03/05/2015;22:38:02.6645374820;755;0;root;0;root;59848;/bin/ntfs-3g
02/09/2021;19:21:15.0743403680;01/10/2014;05:05:28.0000000000;03/05/2015;22:38:02.7245374840;755;0;root;0;root;5940;/bin/zgrep
02/09/2021;19:11:08.2984519990;02/18/2013;08:55:53.0000000000;03/05/2015;22:38:02.6925374830;755;0;root;0;root;39896;/bin/setfont
02/09/2021;19:11:50.9884385620;03/05/2015;22:38:02.5325374770;03/05/2015;22:38:02.5325374770;777;0;root;0;root;8;/bin/domainname
02/09/2021;19:21:15.0743403680;12/18/2013;10:36:05.0000000000;03/05/2015;22:38:02.6725374820;755;0;root;0;root;55416;/bin/ntfsinfo
