Access Date;Access Time;Modify Date;Modify Time;Create Date;Create Time;Permissions;UID;Username;GID;Groupname;Size;File
03/11/2015;10:08:40.1004954050;07/18/2014;05:46:51.0000000000;03/05/2015;22:38:24.6898147510;755;0;root;0;root;84904;/sbin/shutdown
03/05/2015;22:54:12.0000000000;02/16/2015;14:25:48.0000000000;03/05/2015;22:54:13.2397422370;755;0;root;0;root;31432;/sbin/e2image
08/05/2014;11:44:35.0000000000;08/05/2014;11:44:35.0000000000;03/05/2015;22:38:24.6698147510;755;0;root;0;root;29800;/sbin/rarp
03/31/2014;17:22:32.0000000000;03/31/2014;17:22:32.0000000000;03/05/2015;22:38:24.4778147430;755;0;root;0;root;600768;/sbin/brltty
07/18/2014;05:46:51.0000000000;07/18/2014;05:46:51.0000000000;03/05/2015;22:38:24.7218147530;755;0;root;0;root;133512;/sbin/upstart-local-bridge
03/05/2015;22:54:12.0000000000;02/16/2015;14:25:48.0000000000;03/05/2015;22:54:13.2397422370;755;0;root;0;root;10544;/sbin/logsave
03/05/2015;22:54:12.0000000000;02/16/2015;14:25:48.0000000000;03/05/2015;22:54:13.2397422370;755;0;root;0;root;68952;/sbin/tune2fs
02/21/2014;14:20:29.0000000000;02/21/2014;14:20:29.0000000000;03/05/2015;22:38:24.5618147470;755;0;root;0;root;6328;/sbin/getpcaps
02/21/2014;14:20:29.0000000000;02/21/2014;14:20:29.0000000000;03/05/2015;22:38:24.4778147430;755;0;root;0;root;18976;/sbin/capsh
03/11/2015;10:08:40.3686293910;02/12/2015;13:53:38.0000000000;03/05/2015;22:38:24.5618147470;755;0;root;0;root;35384;/sbin/hwclock
02/09/2021;19:11:50.9924405140;03/05/2015;22:38:24.5618147470;03/05/2015;22:38:24.5618147470;777;0;root;0;root;4;/sbin/ifdown
03/05/2015;22:54:07.8744260430;02/25/2015;11:57:28.0000000000;03/05/2015;22:54:03.3406938820;755;0;root;0;root;387;/sbin/ldconfig
08/05/2014;11:44:35.0000000000;08/05/2014;11:44:35.0000000000;03/05/2015;22:38:24.6698147510;755;0;root;0;root;10448;/sbin/plipconfig
10/10/2014;09:55:45.0000000000;10/10/2014;09:55:45.0000000000;03/05/2015;22:38:24.7858147550;755;0;root;0;root;1769752;/sbin/wpa_supplicant
02/09/2021;19:11:50.9924405140;03/05/2015;22:38:24.6498147500;03/05/2015;22:38:24.6498147500;777;0;root;0;root;9;/sbin/modinfo
