Access Date;Access Time;Modify Date;Modify Time;Create Date;Create Time;Permissions;UID;Username;GID;Groupname;Size;File
02/12/2015;13:53:38.0000000000;02/12/2015;13:53:38.0000000000;03/05/2015;22:38:29.0338149160;755;0;root;0;root;10432;/usr/bin/rename.ul
02/12/2015;13:53:38.0000000000;02/12/2015;13:53:38.0000000000;03/05/2015;22:38:29.0418149160;755;0;root;0;root;31328;/usr/bin/resizepart
02/17/2014;12:43:51.0000000000;02/17/2014;12:43:51.0000000000;03/05/2015;22:38:25.8778147960;755;0;root;0;root;318;/usr/bin/friends-dispatcher
03/05/2015;22:38:31.2378149990;03/05/2015;22:38:31.2378149990;03/05/2015;22:38:31.2378149990;777;0;root;0;root;10;/usr/bin/x86_64-linux-gnu-gcc-ar-4.8
02/09/2021;19:11:10.2064519990;11/25/2014;15:38:11.0000000000;03/05/2015;22:38:25.6338147870;755;0;root;0;root;27296;/usr/bin/dbus-launch
01/13/2015;22:50:14.0000000000;01/13/2015;22:50:14.0000000000;03/05/2015;22:38:25.8178147940;755;0;root;0;root;88800;/usr/bin/factor
03/05/2015;22:38:28.3978148920;03/05/2015;22:38:28.3978148920;03/05/2015;22:38:28.3978148920;777;0;root;0;root;11;/usr/bin/mkisofs
03/11/2015;09:58:41.2172335170;02/09/2015;06:36:26.0000000000;03/05/2015;22:38:30.3098149640;755;0;root;0;root;220128;/usr/bin/strip
03/05/2015;22:38:28.8498149090;03/05/2015;22:38:28.8498149090;03/05/2015;22:38:28.8498149090;777;0;root;0;root;8;/usr/bin/pydoc3
10/01/2012;16:29:03.0000000000;10/01/2012;16:29:03.0000000000;03/05/2015;22:38:25.7018147900;755;0;root;0;root;63768;/usr/bin/dvd+rw-booktype
05/05/2014;16:53:42.0000000000;05/05/2014;16:53:42.0000000000;03/05/2015;22:38:28.7498149050;755;0;root;0;root;142432;/usr/bin/patch
01/28/2015;17:47:16.0000000000;01/28/2015;17:47:16.0000000000;03/05/2015;22:38:28.7378149040;755;0;root;0;root;2327;/usr/bin/padsp
02/17/2015;14:33:51.0000000000;02/17/2015;14:33:51.0000000000;03/05/2015;22:38:31.3738150040;755;0;root;0;root;158392;/usr/bin/zipinfo
03/05/2015;22:59:10.1477989320;10/28/2014;16:56:31.0000000000;03/05/2015;22:38:24.9978147630;755;0;root;0;root;113952;/usr/bin/apt-cache
02/18/2014;18:04:38.0000000000;02/18/2014;18:04:38.0000000000;03/05/2015;22:38:25.8658147960;755;0;root;0;root;36200;/usr/bin/foo2qpdl
12/06/2013;22:08:22.0000000000;12/06/2013;22:08:22.0000000000;03/05/2015;22:38:25.6738147890;2755;0;root;8;mail;14856;/usr/bin/dotlockfile
02/09/2021;19:11:09.5984519990;12/03/2012;18:37:50.0000000000;03/05/2015;22:38:28.3018148880;755;0;root;0;root;14592;/usr/bin/lockfile-touch
01/06/2014;09:01:54.0000000000;01/06/2014;09:01:54.0000000000;03/05/2015;22:38:28.6698149020;755;0;root;0;root;17904;/usr/bin/oclock
01/21/2015;08:38:02.0000000000;01/21/2015;08:38:02.0000000000;03/05/2015;22:38:28.7618149050;755;0;root;0;root;96360;/usr/bin/pdftohtml
12/11/2013;01:04:59.0000000000;12/11/2013;01:04:59.0000000000;03/05/2015;22:38:27.0618148410;755;0;root;0;root;44600;/usr/bin/ginstall-info
07/01/2014;11:35:00.0000000000;07/01/2014;11:35:00.0000000000;03/05/2015;22:38:31.1858149970;755;0;root;0;root;286;/usr/bin/wftopfa
02/09/2021;19:11:31.2639900030;02/23/2015;16:09:48.0000000000;03/05/2015;22:42:50.4538248050;777;0;root;0;root;33;/usr/bin/thunderbird
03/05/2015;22:38:25.6538147880;03/05/2015;22:38:25.6538147880;03/05/2015;22:38:25.6538147880;777;0;root;0;root;29;/usr/bin/dh_python3
03/31/2014;17:22:32.0000000000;03/31/2014;17:22:32.0000000000;03/05/2015;22:38:25.3538147760;755;0;root;0;root;129144;/usr/bin/brltty-trtxt
03/05/2015;22:38:28.9978149140;03/05/2015;22:38:28.9978149140;03/05/2015;22:38:28.9978149140;777;0;root;0;root;9;/usr/bin/qdoc3
01/06/2014;09:06:13.0000000000;01/06/2014;09:06:13.0000000000;03/05/2015;22:38:31.2978150010;755;0;root;0;root;17792;/usr/bin/xkbvleds
04/28/2014;04:05:06.0000000000;04/28/2014;04:05:06.0000000000;03/05/2015;22:38:31.1818149970;755;0;root;0;root;231592;/usr/bin/webbrowser-app
01/28/2015;16:19:27.0000000000;01/28/2015;16:19:27.0000000000;03/05/2015;22:38:25.8898147970;755;0;root;0;root;171784;/usr/bin/gatttool
03/05/2015;22:38:27.0618148410;03/05/2015;22:38:27.0618148410;03/05/2015;22:38:27.0618148410;777;0;root;0;root;49;/usr/bin/gio-querymodules
01/13/2015;22:50:14.0000000000;01/13/2015;22:50:14.0000000000;03/05/2015;22:38:31.1938149970;755;0;root;0;root;27200;/usr/bin/whoami
04/11/2014;04:43:54.0000000000;04/11/2014;04:43:54.0000000000;03/05/2015;22:38:31.2498150000;755;0;root;0;root;234;/usr/bin/xdg-user-dir
03/05/2015;22:44:19.5058281730;01/13/2015;22:50:14.0000000000;03/05/2015;22:38:28.1058148810;755;0;root;0;root;39584;/usr/bin/head
03/05/2015;22:38:31.2378149990;03/05/2015;22:38:31.2378149990;03/05/2015;22:38:31.2378149990;777;0;root;0;root;6;/usr/bin/x86_64-linux-gnu-ld.bfd
03/05/2015;22:55:35.0000000000;07/02/2012;17:02:40.0000000000;03/05/2015;22:55:36.5020932110;755;0;root;0;root;10616;/usr/bin/liblinear-predict
