Pid    Uid    Gid    Arguments                                                       
1973   1000   1000   /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session     
1983   1000   1000   /usr/lib/ibus/ibus-x11 --kill-daemon                            
1995   1000   1000   /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon                       
1999   1000   1000   /usr/lib/ibus/ibus-engine-simple                                
2004   1000   1000   /usr/lib/dconf/dconf-service                                    
2020   1000   1000   /usr/bin/pulseaudio --start --log-target=syslog                 
2030   1000   1000   /usr/lib/x86_64-linux-gnu/indicator-keyboard-service --use-gtk  
2036   1000   1000   /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
2038   1000   1000   /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
2042   1000   1000   /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
2045   1000   1000   /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
2048   1000   1000   /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
2049   1000   1000   /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
2057   1000   1000   /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
2060   1000   1000   /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
2075   1000   1000   /usr/lib/x86_64-linux-gnu/notify-osd                            
2079   1000   1000   /usr/lib/evolution/evolution-source-registry                    
2219   1000   1000   compiz                                                          
2226   1000   1000   /usr/lib/evolution/evolution-calendar-factory                   
2230   1000   1000   /usr/lib/unity-settings-daemon/unity-fallback-mount-helper      
2238   1000   1000   /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1  
2246   1000   1000   nm-applet                                                       
2251   1000   1000   nautilus -n                                                     
2266   1000   1000   /usr/lib/gvfs/gvfs-udisks2-volume-monitor                       
2284   0      0      /usr/lib/udisks2/udisksd --no-debug                             
2302   1000   1000   /usr/lib/x86_64-linux-gnu/gconf/gconfd-2                        
2306   1000   1000   /usr/lib/gvfs/gvfs-gphoto2-volume-monitor                       
2311   1000   1000   /usr/lib/gvfs/gvfs-afc-volume-monitor                           
2316   1000   1000   /usr/lib/gvfs/gvfs-mtp-volume-monitor                           
2334   0      0      [scsi_eh_3]                                                     
2335   0      0      [scsi_tmf_3]                                                    
2336   0      0      [usb-storage]                                                   
2346   1000   1000   /usr/lib/gvfs/gvfsd-burn --spawner :1.5 /org/gtk/gvfs/exec_spaw/0
2357   1000   1000   /usr/lib/gvfs/gvfsd-trash --spawner :1.5 /org/gtk/gvfs/exec_spaw/1
2385   0      0      [jbd2/sdb2-8]                                                   
2386   0      0      [ext4-rsv-conver]                                               
2421   0      0      /usr/sbin/cupsd -f                                              
2424   7      7      /usr/lib/cups/notifier/dbus dbus://                             
2430   1000   1000   telepathy-indicator                                             
2437   1000   1000   /usr/lib/telepathy/mission-control-5                            
2455   1000   1000   zeitgeist-datahub                                               
2460   1000   1000   /usr/bin/zeitgeist-daemon                                       
2467   1000   1000   /usr/lib/x86_64-linux-gnu/zeitgeist-fts                         
2475   1000   1000   /bin/cat                                                        
2495   1000   1000   /usr/lib/x86_64-linux-gnu/unity-scope-home/unity-scope-home     
2507   1000   1000   /usr/bin/unity-scope-loader applications/applications.scope applications/scopes.scope commands.scope
2508   1000   1000   /usr/lib/x86_64-linux-gnu/unity-lens-files/unity-files-daemon   
2534   1000   1000   /usr/lib/x86_64-linux-gnu/unity-lens-music/unity-music-daemon   
2560   1000   1000   gnome-terminal                                                  
2567   1000   1000   gnome-pty-helper                                                
2568   1000   1000   bash                                                            
2667   1000   1000   update-notifier                                                 
3027   0      0      xingyi_bindshell                                                
3034   0      1000   sudo -s                                                         
3035   0      0      /bin/bash                                                       
3053   1000   1000   /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor             
3073   0      0      insmod lime-3.16.0-30-generic.ko path=tcp:4444 format=lime      
3077   0      0      [kworker/u2:2]                                                  
